epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
117,2675.25,0.55731,0.44984,0.85669,0.92516,0.84446,0.92228,0.82549,0.47897,0.40246,0.82114,0.006172,0.006172,0.006172
118,2697.53,0.55275,0.44733,0.85308,0.92299,0.852,0.92339,0.82502,0.4798,0.40763,0.82207,0.006139,0.006139,0.006139
119,2719.77,0.5546,0.45228,0.85498,0.90167,0.85574,0.92484,0.82782,0.47659,0.40397,0.81896,0.006106,0.006106,0.006106
120,2741.99,0.55366,0.4502,0.85554,0.92195,0.84833,0.92505,0.82814,0.47422,0.40448,0.81596,0.006073,0.006073,0.006073
121,2764.34,0.55592,0.44956,0.85482,0.91006,0.85484,0.92446,0.8301,0.47355,0.39996,0.81717,0.00604,0.00604,0.00604
122,2786.84,0.55474,0.45148,0.85541,0.90896,0.85799,0.92218,0.82756,0.47637,0.40015,0.8192,0.006007,0.006007,0.006007
123,2809.09,0.54969,0.44664,0.85338,0.90414,0.86171,0.92429,0.83041,0.47204,0.39714,0.81807,0.005974,0.005974,0.005974
124,2831.28,0.55071,0.44813,0.85449,0.89685,0.86045,0.92019,0.82918,0.47507,0.40195,0.82039,0.005941,0.005941,0.005941
125,2853.67,0.54932,0.44466,0.85435,0.91872,0.84962,0.92216,0.82978,0.47345,0.40285,0.81945,0.005908,0.005908,0.005908
126,2875.83,0.54897,0.44531,0.85199,0.92197,0.84463,0.92308,0.82933,0.47372,0.40241,0.82017,0.005875,0.005875,0.005875
127,2898.04,0.54865,0.44285,0.85445,0.92178,0.8441,0.92108,0.82751,0.474,0.40205,0.81885,0.005842,0.005842,0.005842
128,2920.28,0.54491,0.44262,0.85243,0.91451,0.86056,0.924,0.83034,0.47212,0.39864,0.81959,0.005809,0.005809,0.005809
129,2942.25,0.54186,0.43917,0.85151,0.91338,0.86181,0.9255,0.83175,0.47118,0.39418,0.81856,0.005776,0.005776,0.005776
130,2964.13,0.54914,0.43947,0.85333,0.91523,0.85662,0.92577,0.83447,0.46931,0.39439,0.81928,0.005743,0.005743,0.005743
131,2986.09,0.54366,0.44058,0.85282,0.91294,0.85893,0.92667,0.83473,0.46678,0.39697,0.81452,0.00571,0.00571,0.00571
132,3008.1,0.54277,0.44018,0.85115,0.90171,0.86638,0.92471,0.8302,0.46908,0.39739,0.81823,0.005677,0.005677,0.005677
133,3030.03,0.5436,0.43639,0.85116,0.9187,0.84942,0.92514,0.83288,0.47002,0.39705,0.81874,0.005644,0.005644,0.005644
134,3051.96,0.54038,0.43158,0.85086,0.90841,0.86722,0.92714,0.8301,0.46837,0.39433,0.81467,0.005611,0.005611,0.005611
135,3073.84,0.54228,0.43757,0.85181,0.90943,0.87301,0.92919,0.83242,0.46786,0.3929,0.81707,0.005578,0.005578,0.005578
136,3095.83,0.53868,0.43406,0.85177,0.90894,0.87319,0.92487,0.83009,0.46855,0.3941,0.8194,0.005545,0.005545,0.005545
137,3117.73,0.53585,0.43472,0.84894,0.89906,0.8793,0.92593,0.83257,0.46535,0.39238,0.82079,0.005512,0.005512,0.005512
138,3139.64,0.53276,0.43177,0.85189,0.91558,0.8552,0.92568,0.83325,0.46662,0.39102,0.8171,0.005479,0.005479,0.005479
139,3161.51,0.53835,0.4328,0.84939,0.91261,0.86766,0.92908,0.83501,0.4614,0.38823,0.81364,0.005446,0.005446,0.005446
140,3183.45,0.53451,0.42865,0.84807,0.92667,0.84885,0.92834,0.83563,0.46275,0.38841,0.81283,0.005413,0.005413,0.005413
141,3205.43,0.53148,0.42794,0.84931,0.9323,0.85169,0.92729,0.83282,0.46103,0.38999,0.81212,0.00538,0.00538,0.00538
142,3227.4,0.53509,0.42756,0.84814,0.91117,0.87384,0.92959,0.83501,0.46234,0.39076,0.81353,0.005347,0.005347,0.005347
143,3249.36,0.53529,0.43297,0.84874,0.91078,0.86641,0.92776,0.83326,0.46265,0.39215,0.81304,0.005314,0.005314,0.005314
144,3271.33,0.53146,0.42923,0.84965,0.91593,0.85967,0.92668,0.83291,0.46292,0.39251,0.81465,0.005281,0.005281,0.005281
145,3293.32,0.52956,0.42545,0.84978,0.92288,0.85534,0.92731,0.83434,0.46396,0.3907,0.81586,0.005248,0.005248,0.005248
146,3315.23,0.52995,0.42381,0.84844,0.9258,0.85475,0.9279,0.83473,0.46268,0.38921,0.81517,0.005215,0.005215,0.005215
147,3337.08,0.52783,0.42125,0.84587,0.91699,0.86989,0.92576,0.83385,0.45865,0.38616,0.81394,0.005182,0.005182,0.005182
148,3359,0.52663,0.41983,0.84834,0.91208,0.86725,0.92666,0.83478,0.4593,0.38748,0.81383,0.005149,0.005149,0.005149
149,3380.97,0.52715,0.42124,0.84606,0.9199,0.85991,0.92867,0.83562,0.45929,0.38613,0.8138,0.005116,0.005116,0.005116
150,3402.89,0.52992,0.42142,0.84673,0.91276,0.86804,0.92931,0.83642,0.46001,0.38605,0.81325,0.005083,0.005083,0.005083
151,3424.88,0.52522,0.41942,0.84855,0.92849,0.8682,0.93212,0.83709,0.45974,0.38372,0.81351,0.00505,0.00505,0.00505
152,3446.75,0.52296,0.41879,0.84732,0.93207,0.86521,0.93221,0.8392,0.45517,0.38031,0.81132,0.005017,0.005017,0.005017
153,3468.69,0.52526,0.41974,0.84955,0.92127,0.86879,0.93074,0.83771,0.45519,0.37942,0.81219,0.004984,0.004984,0.004984
154,3490.61,0.52263,0.41744,0.84744,0.92265,0.85904,0.92977,0.83531,0.45802,0.38377,0.81106,0.004951,0.004951,0.004951
155,3512.54,0.52199,0.41927,0.84643,0.9321,0.8609,0.93104,0.83772,0.45895,0.38341,0.81131,0.004918,0.004918,0.004918
156,3534.6,0.52682,0.41782,0.84778,0.92268,0.85952,0.93063,0.84063,0.45715,0.38115,0.81052,0.004885,0.004885,0.004885
157,3556.59,0.52048,0.41271,0.84472,0.9329,0.85473,0.93247,0.84188,0.45815,0.37931,0.81011,0.004852,0.004852,0.004852
158,3578.63,0.52392,0.41644,0.84446,0.93736,0.85374,0.93203,0.84202,0.45812,0.37921,0.81208,0.004819,0.004819,0.004819
159,3600.67,0.51836,0.41137,0.84442,0.92386,0.85959,0.9323,0.84167,0.45581,0.37723,0.81246,0.004786,0.004786,0.004786
160,3622.51,0.52413,0.41458,0.84353,0.93025,0.85218,0.93318,0.84144,0.4551,0.37588,0.81166,0.004753,0.004753,0.004753
161,3644.38,0.51326,0.40946,0.84395,0.91958,0.86997,0.934,0.84138,0.45544,0.3754,0.81128,0.00472,0.00472,0.00472
162,3666.2,0.51542,0.40854,0.84528,0.9315,0.85519,0.93333,0.8433,0.45513,0.37701,0.81133,0.004687,0.004687,0.004687
163,3688.19,0.51779,0.40947,0.84429,0.91239,0.8714,0.93443,0.84249,0.45473,0.37539,0.81192,0.004654,0.004654,0.004654
164,3710.13,0.52055,0.41325,0.8459,0.92672,0.86342,0.9345,0.84308,0.45619,0.37758,0.81378,0.004621,0.004621,0.004621
165,3732.05,0.51391,0.40484,0.8453,0.92262,0.86129,0.93472,0.84356,0.45616,0.37714,0.81194,0.004588,0.004588,0.004588
166,3754.03,0.51125,0.40435,0.84272,0.91137,0.88072,0.93628,0.8432,0.45523,0.37599,0.81034,0.004555,0.004555,0.004555
167,3775.99,0.51708,0.40792,0.84387,0.91037,0.86974,0.93495,0.84318,0.45541,0.37871,0.8106,0.004522,0.004522,0.004522
168,3797.92,0.51207,0.40353,0.84281,0.90873,0.87062,0.93404,0.84082,0.45637,0.37968,0.81199,0.004489,0.004489,0.004489
169,3819.83,0.51366,0.40667,0.84349,0.91535,0.87766,0.93613,0.84463,0.45501,0.3789,0.81208,0.004456,0.004456,0.004456
170,3841.78,0.50858,0.40442,0.84207,0.92291,0.87209,0.93796,0.84596,0.45482,0.37789,0.8113,0.004423,0.004423,0.004423
171,3863.7,0.5107,0.40445,0.84364,0.91853,0.87075,0.93714,0.84594,0.45301,0.37717,0.81063,0.00439,0.00439,0.00439
172,3885.69,0.50965,0.40085,0.84264,0.91915,0.86825,0.93647,0.84642,0.45285,0.37889,0.81042,0.004357,0.004357,0.004357
173,3907.72,0.50428,0.3987,0.84006,0.90692,0.88144,0.93841,0.84944,0.45313,0.37724,0.81113,0.004324,0.004324,0.004324
174,3929.81,0.50948,0.4023,0.84176,0.90727,0.87979,0.93659,0.84899,0.45207,0.37583,0.81082,0.004291,0.004291,0.004291
175,3951.78,0.51082,0.40173,0.84035,0.9226,0.872,0.93766,0.84924,0.45195,0.37502,0.81099,0.004258,0.004258,0.004258
176,3973.82,0.5052,0.39949,0.84068,0.92284,0.87241,0.93907,0.84999,0.4511,0.37521,0.81133,0.004225,0.004225,0.004225
177,3995.63,0.50585,0.39786,0.8425,0.91858,0.87613,0.93842,0.84884,0.45148,0.37593,0.81233,0.004192,0.004192,0.004192
178,4017.54,0.50667,0.40131,0.84099,0.92339,0.87285,0.93731,0.84609,0.45107,0.37537,0.81127,0.004159,0.004159,0.004159
179,4039.43,0.50063,0.39623,0.84071,0.92794,0.87279,0.9391,0.85025,0.45015,0.37413,0.81057,0.004126,0.004126,0.004126
180,4061.52,0.5038,0.39538,0.83911,0.92465,0.88234,0.94013,0.84981,0.45004,0.37328,0.81065,0.004093,0.004093,0.004093
181,4083.49,0.50342,0.39908,0.84196,0.91545,0.88494,0.93948,0.84769,0.44968,0.37229,0.81054,0.00406,0.00406,0.00406
182,4105.63,0.50506,0.39444,0.84236,0.92094,0.88342,0.93914,0.84808,0.45075,0.37247,0.81107,0.004027,0.004027,0.004027
183,4127.48,0.50362,0.39634,0.83964,0.92331,0.87681,0.93868,0.84714,0.4506,0.37193,0.811,0.003994,0.003994,0.003994
184,4149.37,0.50341,0.39438,0.84052,0.9335,0.86744,0.93823,0.84811,0.45098,0.37337,0.81074,0.003961,0.003961,0.003961
185,4171.5,0.50077,0.39348,0.84037,0.92657,0.87336,0.93807,0.84828,0.45016,0.3735,0.81099,0.003928,0.003928,0.003928
186,4193.43,0.4994,0.38902,0.84035,0.92568,0.8747,0.9371,0.84895,0.44914,0.37349,0.8106,0.003895,0.003895,0.003895
