               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  62,            0.029621,            0.041767,           0.0066199,             0.94343,             0.87255,             0.93337,             0.76957,            0.021569,            0.035332,           0.0054492,            0.007987,            0.007987,            0.007987
                  63,               0.029,             0.04221,           0.0065441,             0.90751,              0.8925,             0.93445,             0.76927,            0.021616,            0.035349,           0.0055117,            0.007954,            0.007954,            0.007954
                  64,            0.029136,            0.041932,           0.0065859,             0.92704,             0.88866,             0.93735,             0.76748,            0.021544,            0.034609,           0.0053359,            0.007921,            0.007921,            0.007921
                  65,            0.028853,            0.041578,           0.0064586,             0.92796,             0.88758,             0.93148,             0.76838,             0.02183,            0.037274,           0.0054593,            0.007888,            0.007888,            0.007888
                  66,            0.028626,            0.041063,           0.0063636,             0.92385,             0.87901,             0.93063,             0.77078,            0.021359,            0.035901,           0.0055926,            0.007855,            0.007855,            0.007855
                  67,            0.028523,            0.040972,           0.0065511,             0.90132,              0.8924,             0.93183,             0.76815,            0.021421,            0.036248,           0.0053708,            0.007822,            0.007822,            0.007822
                  68,            0.028734,            0.041073,           0.0063664,             0.91048,             0.89354,             0.93293,             0.77342,            0.021164,            0.034986,           0.0054983,            0.007789,            0.007789,            0.007789
                  69,            0.028974,            0.041491,           0.0065206,             0.92134,             0.88986,             0.93784,             0.76833,            0.021813,            0.036312,           0.0054488,            0.007756,            0.007756,            0.007756
                  70,            0.028605,            0.041175,           0.0062341,             0.92697,             0.89698,             0.93678,             0.76724,            0.021379,             0.03624,           0.0053668,            0.007723,            0.007723,            0.007723
                  71,             0.02845,            0.040854,           0.0063363,             0.92392,             0.89556,              0.9333,             0.76932,            0.021394,            0.036092,           0.0054296,             0.00769,             0.00769,             0.00769
                  72,            0.028232,            0.041404,           0.0063334,             0.92159,             0.90229,             0.93612,             0.78903,            0.021037,            0.034463,           0.0053395,            0.007657,            0.007657,            0.007657
                  73,            0.028244,            0.040804,           0.0062616,             0.92681,              0.9003,             0.93978,              0.7769,            0.021082,            0.035283,           0.0054306,            0.007624,            0.007624,            0.007624
                  74,            0.028328,            0.041214,           0.0062858,             0.93317,             0.88651,             0.93585,             0.78164,            0.020969,            0.034525,           0.0053517,            0.007591,            0.007591,            0.007591
                  75,            0.028015,            0.040483,           0.0063649,             0.90981,              0.8976,              0.9371,             0.77994,            0.021119,            0.035091,           0.0053691,            0.007558,            0.007558,            0.007558
                  76,            0.028193,            0.040871,           0.0061967,             0.91803,             0.88511,             0.93367,             0.77804,            0.021154,            0.035322,           0.0053952,            0.007525,            0.007525,            0.007525
